연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1999,441,436.3,452.3,453.5,455,467,477.9,481,473.1,470.3,461,446
2000,443,442.4,452.2,453.9,463.7,468,475.1,477.5,481.2,463.8,454.5,449.7
2001,451.6,443,449.2,453.2,462.1,469.6,475.5,481.9,481.4,471.7,450.3,441.5
2002,441.2,440.9,446.6,457.3,467.1,473.1,482.8,480.8,477.8,465.7,451.4,450.1
2003,440.2,448.6,447.9,452.5,464.7,473.6,478.9,481.6,477.4,471.3,461.5,444.8
2004,446.4,443.7,448.8,454.5,468.9,469.1,483.9,487.7,479.3,466,459.4,451.2
2005,445,447.1,438.2,454,463.5,469.1,474,478.1,473.3,460.8,458.7,437.9
2006,449.4,438.8,445.3,463.5,463.4,472.7,476.8,479.7,476.9,471,458.8,448.1
2007,445.4,443.5,456.7,457.7,469.7,470.8,479.1,485.8,481.5,462.2,456.4,453.4
2008,440.9,439.5,451,460.6,468.2,472.7,476.8,483.8,471.2,465.6,454.9,447.5
2009,439.7,446.7,445.2*,453.8,461,475.2,479.5,484.2,480.8,(468),(456.8),452.2
2010,440.4,449.9,(448.3),455.7,467.2,468.7,(480.4),481.1,(480.7),(468.8),465.1,448.4
2011,437,445,441.2,452.7,467.1,473.6,484.2,489.6,478.9,466.2,462,447.7
2012,446.5,442.4,452.9,455.8,(466.8),476.4,484.3,493.3,481.6,476.9,465.7,447.9
2013,449.1,444.1,450,463.8,473.6,475.3,484.7,486.9,474.4,470.5,456.6*,(449.5)
2014,445.9,453,456.9,(461.8),473.5,(478),477.1,(483.4),479.2,(475),457.9,441.6
2015,(443.9),(447.5),446.1,(456.9),466.2,(473),(480.7),487.1,481.7,467.9,464.6,454.9
2016,447.3,444.6,452.7,467.7,469.8,478.9,480.4,(484.6),487,(475),465.6,454.3
2017,449.8,446.6,455.6,463.3,460.8,474.2,482.7,485,(480.1),(470.8),(452.3),441.7
2018,(441.3),439.8,447.8,454,470.5,475.5,(483.6),490.6,(480.1),464.1,(459.4),452.4
2019,451.2,448.7,456.8,461.5,467.4,(473.8),482.8,485.5,479.7,474.4,459.8,451.7
2020,(456),452.8,454.2,458.3,470.6,(481.6),480.1,492,(489),475.1*,458.7,451.1
2021,451.3,454,(455.3),462.9,472.8,480.5,487.5,489.8,487.3,473.9,461.4,448.5
2022,453.8,452.2,461.1,459,469.4,484.7,490.4,490.3,485.1,(467.9),(465.3),442.4
2023,(452.5),452.6,452.9,464.2,472.1,480.7,488.2,493.4,488,472.5,458.2,449.8
2024,452.5,457.9,461.6,464.7,468.3,479,491.2,492.4,485.5,475.8,466.4,(451.3)
,,,,,,,,,,,,
,,,,,,,,,,,,
